,uid,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,last_alert,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,validation_status,mac,filename,fingerprint,ts,certificate.version,certificate.serial,certificate.subject,certificate.issuer,certificate.not_valid_before,certificate.not_valid_after,certificate.key_alg,certificate.sig_alg,certificate.key_type,certificate.key_length,certificate.exponent,certificate.curve,san.dns,san.uri,san.email,san.ip,basic_constraints.ca,basic_constraints.path_len,host_cert,client_cert,issuer_O,issuer_CN,subject_O,subject_CN,not_before,not_after,validity_days,device,vendor,_merge
0,CI9n3mxmALqYa4rpi,3.143.159.47,8883.0,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp521r1,a3tpdpjvxk6yog-ats.iot.us-east-2.amazonaws.com,F,-,-,T,CsxkrnXGYIi,"77cdd333b8b98dee902100a6e341dc6a130c7a4757a33cc0a0ef7d1a85bb581b,f55f9ffcb83c73453261601c7e044db15a0f034b93c05830f28635ef889cf670,87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706,28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996",29137174bf8f05906b2a1f2a28a6cbfb1854b30253f738f322253a0258bde1ee,T,ok,40:f5:20:55:c1:c0,2021-10-16_16.16.33_192.168.10.169.pcap,77cdd333b8b98dee902100a6e341dc6a130c7a4757a33cc0a0ef7d1a85bb581b,1634416219.870391,3.0,0CCAAA6992478AD3965094D8B51C952F,CN=*.iot.us-east-2.amazonaws.com,"CN=Amazon,OU=Server CA 1B,O=Amazon,C=US",1629777600.0,1659585599.0,rsaEncryption,sha256WithRSAEncryption,rsa,2048.0,65537.0,-,"*.iot.us-east-2.amazonaws.com,iot.us-east-2.amazonaws.com",-,-,-,F,-,T,F,Amazon,Amazon,CN=*.iot.us-east-2.amazonaws.com,*.iot.us-east-2.amazonaws.com,"08/24/2021, 00:00:00","08/03/2022, 23:59:59",344,blueair-purifier,blueair,both
1,CXKBhSpxPTjUqbdBf,3.22.231.130,8883.0,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp521r1,a3tpdpjvxk6yog-ats.iot.us-east-2.amazonaws.com,F,-,-,T,CsxkrnXGYIi,"77cdd333b8b98dee902100a6e341dc6a130c7a4757a33cc0a0ef7d1a85bb581b,f55f9ffcb83c73453261601c7e044db15a0f034b93c05830f28635ef889cf670,87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706,28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996",29137174bf8f05906b2a1f2a28a6cbfb1854b30253f738f322253a0258bde1ee,T,ok,40:f5:20:55:c1:c0,2021-10-16_16.16.33_192.168.10.169.pcap,77cdd333b8b98dee902100a6e341dc6a130c7a4757a33cc0a0ef7d1a85bb581b,1634416219.870391,3.0,0CCAAA6992478AD3965094D8B51C952F,CN=*.iot.us-east-2.amazonaws.com,"CN=Amazon,OU=Server CA 1B,O=Amazon,C=US",1629777600.0,1659585599.0,rsaEncryption,sha256WithRSAEncryption,rsa,2048.0,65537.0,-,"*.iot.us-east-2.amazonaws.com,iot.us-east-2.amazonaws.com",-,-,-,F,-,T,F,Amazon,Amazon,CN=*.iot.us-east-2.amazonaws.com,*.iot.us-east-2.amazonaws.com,"08/24/2021, 00:00:00","08/03/2022, 23:59:59",344,blueair-purifier,blueair,both
2,CqAqz24An71u3Mquib,3.130.140.99,8883.0,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp521r1,a3tpdpjvxk6yog-ats.iot.us-east-2.amazonaws.com,F,-,-,T,CsxkrnXGYIi,"77cdd333b8b98dee902100a6e341dc6a130c7a4757a33cc0a0ef7d1a85bb581b,f55f9ffcb83c73453261601c7e044db15a0f034b93c05830f28635ef889cf670,87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706,28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996",29137174bf8f05906b2a1f2a28a6cbfb1854b30253f738f322253a0258bde1ee,T,ok,40:f5:20:55:c1:c0,2021-10-16_16.16.33_192.168.10.169.pcap,77cdd333b8b98dee902100a6e341dc6a130c7a4757a33cc0a0ef7d1a85bb581b,1634416219.870391,3.0,0CCAAA6992478AD3965094D8B51C952F,CN=*.iot.us-east-2.amazonaws.com,"CN=Amazon,OU=Server CA 1B,O=Amazon,C=US",1629777600.0,1659585599.0,rsaEncryption,sha256WithRSAEncryption,rsa,2048.0,65537.0,-,"*.iot.us-east-2.amazonaws.com,iot.us-east-2.amazonaws.com",-,-,-,F,-,T,F,Amazon,Amazon,CN=*.iot.us-east-2.amazonaws.com,*.iot.us-east-2.amazonaws.com,"08/24/2021, 00:00:00","08/03/2022, 23:59:59",344,blueair-purifier,blueair,both
3,Cpb9fn1XhExomty6k,18.220.221.233,8883.0,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp521r1,a3tpdpjvxk6yog-ats.iot.us-east-2.amazonaws.com,F,-,-,T,CsxkrnXGYIi,"77cdd333b8b98dee902100a6e341dc6a130c7a4757a33cc0a0ef7d1a85bb581b,f55f9ffcb83c73453261601c7e044db15a0f034b93c05830f28635ef889cf670,87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706,28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996",29137174bf8f05906b2a1f2a28a6cbfb1854b30253f738f322253a0258bde1ee,T,ok,40:f5:20:55:c1:c0,2021-10-16_16.16.33_192.168.10.169.pcap,77cdd333b8b98dee902100a6e341dc6a130c7a4757a33cc0a0ef7d1a85bb581b,1634416219.870391,3.0,0CCAAA6992478AD3965094D8B51C952F,CN=*.iot.us-east-2.amazonaws.com,"CN=Amazon,OU=Server CA 1B,O=Amazon,C=US",1629777600.0,1659585599.0,rsaEncryption,sha256WithRSAEncryption,rsa,2048.0,65537.0,-,"*.iot.us-east-2.amazonaws.com,iot.us-east-2.amazonaws.com",-,-,-,F,-,T,F,Amazon,Amazon,CN=*.iot.us-east-2.amazonaws.com,*.iot.us-east-2.amazonaws.com,"08/24/2021, 00:00:00","08/03/2022, 23:59:59",344,blueair-purifier,blueair,both
4,CzJ6D84Mrfb2Ibc93k,3.23.51.153,8883.0,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp521r1,a3tpdpjvxk6yog-ats.iot.us-east-2.amazonaws.com,F,-,-,T,CsxkrnXGYIi,"77cdd333b8b98dee902100a6e341dc6a130c7a4757a33cc0a0ef7d1a85bb581b,f55f9ffcb83c73453261601c7e044db15a0f034b93c05830f28635ef889cf670,87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706,28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996",29137174bf8f05906b2a1f2a28a6cbfb1854b30253f738f322253a0258bde1ee,T,ok,40:f5:20:55:c1:c0,2021-10-16_16.16.33_192.168.10.169.pcap,77cdd333b8b98dee902100a6e341dc6a130c7a4757a33cc0a0ef7d1a85bb581b,1634416219.870391,3.0,0CCAAA6992478AD3965094D8B51C952F,CN=*.iot.us-east-2.amazonaws.com,"CN=Amazon,OU=Server CA 1B,O=Amazon,C=US",1629777600.0,1659585599.0,rsaEncryption,sha256WithRSAEncryption,rsa,2048.0,65537.0,-,"*.iot.us-east-2.amazonaws.com,iot.us-east-2.amazonaws.com",-,-,-,F,-,T,F,Amazon,Amazon,CN=*.iot.us-east-2.amazonaws.com,*.iot.us-east-2.amazonaws.com,"08/24/2021, 00:00:00","08/03/2022, 23:59:59",344,blueair-purifier,blueair,both
5,CQZF2A1CwwvziINBD,3.128.125.236,8883.0,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp521r1,a3tpdpjvxk6yog-ats.iot.us-east-2.amazonaws.com,F,-,-,T,CsxkrnXGYIi,"77cdd333b8b98dee902100a6e341dc6a130c7a4757a33cc0a0ef7d1a85bb581b,f55f9ffcb83c73453261601c7e044db15a0f034b93c05830f28635ef889cf670,87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706,28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996",29137174bf8f05906b2a1f2a28a6cbfb1854b30253f738f322253a0258bde1ee,T,ok,40:f5:20:55:c1:c0,2021-10-16_16.16.33_192.168.10.169.pcap,77cdd333b8b98dee902100a6e341dc6a130c7a4757a33cc0a0ef7d1a85bb581b,1634416219.870391,3.0,0CCAAA6992478AD3965094D8B51C952F,CN=*.iot.us-east-2.amazonaws.com,"CN=Amazon,OU=Server CA 1B,O=Amazon,C=US",1629777600.0,1659585599.0,rsaEncryption,sha256WithRSAEncryption,rsa,2048.0,65537.0,-,"*.iot.us-east-2.amazonaws.com,iot.us-east-2.amazonaws.com",-,-,-,F,-,T,F,Amazon,Amazon,CN=*.iot.us-east-2.amazonaws.com,*.iot.us-east-2.amazonaws.com,"08/24/2021, 00:00:00","08/03/2022, 23:59:59",344,blueair-purifier,blueair,both
6,ChPJsU26OtwJ2Vhavl,3.134.138.59,8883.0,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp521r1,a3tpdpjvxk6yog-ats.iot.us-east-2.amazonaws.com,F,-,-,T,CsxkrnXGYIi,"77cdd333b8b98dee902100a6e341dc6a130c7a4757a33cc0a0ef7d1a85bb581b,f55f9ffcb83c73453261601c7e044db15a0f034b93c05830f28635ef889cf670,87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706,28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996",29137174bf8f05906b2a1f2a28a6cbfb1854b30253f738f322253a0258bde1ee,T,ok,40:f5:20:55:c1:c0,2021-10-16_16.16.33_192.168.10.169.pcap,77cdd333b8b98dee902100a6e341dc6a130c7a4757a33cc0a0ef7d1a85bb581b,1634416219.870391,3.0,0CCAAA6992478AD3965094D8B51C952F,CN=*.iot.us-east-2.amazonaws.com,"CN=Amazon,OU=Server CA 1B,O=Amazon,C=US",1629777600.0,1659585599.0,rsaEncryption,sha256WithRSAEncryption,rsa,2048.0,65537.0,-,"*.iot.us-east-2.amazonaws.com,iot.us-east-2.amazonaws.com",-,-,-,F,-,T,F,Amazon,Amazon,CN=*.iot.us-east-2.amazonaws.com,*.iot.us-east-2.amazonaws.com,"08/24/2021, 00:00:00","08/03/2022, 23:59:59",344,blueair-purifier,blueair,both
7,CD3pTk1vsLiQaIeSS1,3.137.128.196,8883.0,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp521r1,a3tpdpjvxk6yog-ats.iot.us-east-2.amazonaws.com,F,-,-,T,CsxkrnXGYIi,"77cdd333b8b98dee902100a6e341dc6a130c7a4757a33cc0a0ef7d1a85bb581b,f55f9ffcb83c73453261601c7e044db15a0f034b93c05830f28635ef889cf670,87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706,28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996",29137174bf8f05906b2a1f2a28a6cbfb1854b30253f738f322253a0258bde1ee,T,ok,40:f5:20:55:c1:c0,2021-10-16_16.16.33_192.168.10.169.pcap,77cdd333b8b98dee902100a6e341dc6a130c7a4757a33cc0a0ef7d1a85bb581b,1634416219.870391,3.0,0CCAAA6992478AD3965094D8B51C952F,CN=*.iot.us-east-2.amazonaws.com,"CN=Amazon,OU=Server CA 1B,O=Amazon,C=US",1629777600.0,1659585599.0,rsaEncryption,sha256WithRSAEncryption,rsa,2048.0,65537.0,-,"*.iot.us-east-2.amazonaws.com,iot.us-east-2.amazonaws.com",-,-,-,F,-,T,F,Amazon,Amazon,CN=*.iot.us-east-2.amazonaws.com,*.iot.us-east-2.amazonaws.com,"08/24/2021, 00:00:00","08/03/2022, 23:59:59",344,blueair-purifier,blueair,both
8,C92K333ZGVubPCBmHe,18.190.67.204,8883.0,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp521r1,a3tpdpjvxk6yog-ats.iot.us-east-2.amazonaws.com,F,-,-,T,CsxkrnXGYIi,"77cdd333b8b98dee902100a6e341dc6a130c7a4757a33cc0a0ef7d1a85bb581b,f55f9ffcb83c73453261601c7e044db15a0f034b93c05830f28635ef889cf670,87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706,28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996",29137174bf8f05906b2a1f2a28a6cbfb1854b30253f738f322253a0258bde1ee,T,ok,40:f5:20:55:c1:c0,2021-10-16_16.16.33_192.168.10.169.pcap,77cdd333b8b98dee902100a6e341dc6a130c7a4757a33cc0a0ef7d1a85bb581b,1634416219.870391,3.0,0CCAAA6992478AD3965094D8B51C952F,CN=*.iot.us-east-2.amazonaws.com,"CN=Amazon,OU=Server CA 1B,O=Amazon,C=US",1629777600.0,1659585599.0,rsaEncryption,sha256WithRSAEncryption,rsa,2048.0,65537.0,-,"*.iot.us-east-2.amazonaws.com,iot.us-east-2.amazonaws.com",-,-,-,F,-,T,F,Amazon,Amazon,CN=*.iot.us-east-2.amazonaws.com,*.iot.us-east-2.amazonaws.com,"08/24/2021, 00:00:00","08/03/2022, 23:59:59",344,blueair-purifier,blueair,both
9,C7iy0g3VmOcvJcxwVk,3.130.66.61,8883.0,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp521r1,a3tpdpjvxk6yog-ats.iot.us-east-2.amazonaws.com,F,-,-,T,CsxkrnXGYIi,"77cdd333b8b98dee902100a6e341dc6a130c7a4757a33cc0a0ef7d1a85bb581b,f55f9ffcb83c73453261601c7e044db15a0f034b93c05830f28635ef889cf670,87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706,28689b30e4c306aab53b027b29e36ad6dd1dcf4b953994482ca84bdc1ecac996",29137174bf8f05906b2a1f2a28a6cbfb1854b30253f738f322253a0258bde1ee,T,ok,40:f5:20:55:c1:c0,2021-11-01_14.05.46_192.168.10.169.pcap,77cdd333b8b98dee902100a6e341dc6a130c7a4757a33cc0a0ef7d1a85bb581b,1634416219.870391,3.0,0CCAAA6992478AD3965094D8B51C952F,CN=*.iot.us-east-2.amazonaws.com,"CN=Amazon,OU=Server CA 1B,O=Amazon,C=US",1629777600.0,1659585599.0,rsaEncryption,sha256WithRSAEncryption,rsa,2048.0,65537.0,-,"*.iot.us-east-2.amazonaws.com,iot.us-east-2.amazonaws.com",-,-,-,F,-,T,F,Amazon,Amazon,CN=*.iot.us-east-2.amazonaws.com,*.iot.us-east-2.amazonaws.com,"08/24/2021, 00:00:00","08/03/2022, 23:59:59",344,blueair-purifier,blueair,both
