,uid,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,last_alert,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,validation_status,mac,filename,fingerprint,ts,certificate.version,certificate.serial,certificate.subject,certificate.issuer,certificate.not_valid_before,certificate.not_valid_after,certificate.key_alg,certificate.sig_alg,certificate.key_type,certificate.key_length,certificate.exponent,certificate.curve,san.dns,san.uri,san.email,san.ip,basic_constraints.ca,basic_constraints.path_len,host_cert,client_cert,issuer_O,issuer_CN,subject_O,subject_CN,not_before,not_after,validity_days,device,vendor,_merge
170,CxUlzn20fh9LxtoyLa,35.201.85.69,443.0,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,F,Csxkn,"c6c9adba97fd96409a5b9edef9ce14009f5c00b0ca31219e30ccc4c4e92d45fb,8dc5157700797ae2939641af9e0981d15617687412d035fc59bfd740b6070966",(empty),-,self signed certificate in certificate chain,0:17:88:68:5f:61,2020-01-29_11.59.30_192.168.10.224.pcap,c6c9adba97fd96409a5b9edef9ce14009f5c00b0ca31219e30ccc4c4e92d45fb,1580350321.902289,3.0,0E5F8A276796,CN=time.meethue.com,"CN=Certinomis - Autorit\\C3\\A9 Racine,OU=0002 433998903,O=Certinomis,C=FR",1580195452.0,1643440252.0,rsaEncryption,sha256WithRSAEncryption,rsa,4096.0,65537.0,-,time.meethue.com,-,-,35.201.85.69,-,-,T,F,Certinomis,Certinomis - Autorit\\C3\\A9 Racine,CN=time.meethue.com,time.meethue.com,"01/28/2020, 02:10:52","01/29/2022, 02:10:52",732,t-philips-hub,philips,both
171,C0hNSefyRxMxTN0tf,35.201.85.69,443.0,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,F,Csxkn,"1fa4d23140648004a6b3bddb03139ad058cd18b837728942ef79f552f7f72d5e,8dc5157700797ae2939641af9e0981d15617687412d035fc59bfd740b6070966",(empty),-,self signed certificate in certificate chain,0:17:88:68:5f:61,2020-01-29_11.59.30_192.168.10.224.pcap,1fa4d23140648004a6b3bddb03139ad058cd18b837728942ef79f552f7f72d5e,1580350392.425348,3.0,0E5F8A3CD3B5,CN=time.meethue.com,"CN=Certinomis - Autorit\\C3\\A9 Racine,OU=0002 433998903,O=Certinomis,C=FR",1580195592.0,1643440392.0,rsaEncryption,sha256WithRSAEncryption,rsa,4096.0,65537.0,-,time.meethue.com,-,-,35.201.85.69,-,-,T,F,Certinomis,Certinomis - Autorit\\C3\\A9 Racine,CN=time.meethue.com,time.meethue.com,"01/28/2020, 02:13:12","01/29/2022, 02:13:12",732,t-philips-hub,philips,both
172,CwI1jo3PwjY2vOkIuf,35.201.85.69,443.0,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,F,Csxkn,"d5ca6fdf10e3054eba77ffe1358e8649e1d286dff9f074d50159c4882cd79a42,9e1b9cbd60152e1d04d4158fd17935596ab00a0e8af8d5490b4c404721f780e3",(empty),-,self signed certificate in certificate chain,0:17:88:68:5f:61,2020-01-29_11.59.30_192.168.10.224.pcap,d5ca6fdf10e3054eba77ffe1358e8649e1d286dff9f074d50159c4882cd79a42,1580350673.822141,3.0,0E5F8A5D10A1,CN=time.meethue.com,"CN=Swisscom Root CA 1,OU=Digital Certificate Services,O=Swisscom,C=ch",1580195803.0,1643440603.0,rsaEncryption,sha256WithRSAEncryption,rsa,4096.0,65537.0,-,time.meethue.com,-,-,35.201.85.69,-,-,T,F,Swisscom,Swisscom Root CA 1,CN=time.meethue.com,time.meethue.com,"01/28/2020, 02:16:43","01/29/2022, 02:16:43",732,t-philips-hub,philips,both
173,CYUbUxWVyj8Lfibi8,35.201.85.69,443.0,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,F,Csxkn,"46a226118f38d18302cd7f99e04c9f521638076a4c08faacbc725c6fbd3a27cb,9e1b9cbd60152e1d04d4158fd17935596ab00a0e8af8d5490b4c404721f780e3",(empty),-,self signed certificate in certificate chain,0:17:88:68:5f:61,2020-01-29_11.59.30_192.168.10.224.pcap,46a226118f38d18302cd7f99e04c9f521638076a4c08faacbc725c6fbd3a27cb,1580350814.528598,3.0,0E5F8A7D3B61,CN=time.meethue.com,"CN=Swisscom Root CA 1,OU=Digital Certificate Services,O=Swisscom,C=ch",1580196014.0,1643440814.0,rsaEncryption,sha256WithRSAEncryption,rsa,4096.0,65537.0,-,time.meethue.com,-,-,35.201.85.69,-,-,T,F,Swisscom,Swisscom Root CA 1,CN=time.meethue.com,time.meethue.com,"01/28/2020, 02:20:14","01/29/2022, 02:20:14",732,t-philips-hub,philips,both
174,Cwse1c2VK2y67yDpO9,35.201.85.69,443.0,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,F,Csxkn,"210ba001b1ec136ada707a2bfb2bdbd63fdd380cc967aa936b4ab669cd986487,1b04146355ea0dee17dd99064e39f41d7aa5afe4de9a0559259695e50b2365ec",(empty),-,certificate signature failure,0:17:88:68:5f:61,2020-01-29_11.59.30_192.168.10.224.pcap,210ba001b1ec136ada707a2bfb2bdbd63fdd380cc967aa936b4ab669cd986487,1580350955.658013,3.0,0E5F8A92C540,CN=time.meethue.com,"CN=AffirmTrust Networking,O=AffirmTrust,C=US",1580196155.0,1643440955.0,rsaEncryption,sha256WithRSAEncryption,rsa,2048.0,65537.0,-,time.meethue.com,-,-,35.201.85.69,-,-,T,F,AffirmTrust,AffirmTrust Networking,CN=time.meethue.com,time.meethue.com,"01/28/2020, 02:22:35","01/29/2022, 02:22:35",732,t-philips-hub,philips,both
175,CbmLjVW912io0Cxt1,35.201.85.69,443.0,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,F,Csxkn,"0e76417238ffdd3e7a99c66d12558426d769376d8c4116ca218f68102beddeae,1b04146355ea0dee17dd99064e39f41d7aa5afe4de9a0559259695e50b2365ec",(empty),-,certificate signature failure,0:17:88:68:5f:61,2020-01-29_11.59.30_192.168.10.224.pcap,0e76417238ffdd3e7a99c66d12558426d769376d8c4116ca218f68102beddeae,1580351166.709322,3.0,0E5F8AB2F978,CN=time.meethue.com,"CN=AffirmTrust Networking,O=AffirmTrust,C=US",1580196366.0,1643441166.0,rsaEncryption,sha256WithRSAEncryption,rsa,2048.0,65537.0,-,time.meethue.com,-,-,35.201.85.69,-,-,T,F,AffirmTrust,AffirmTrust Networking,CN=time.meethue.com,time.meethue.com,"01/28/2020, 02:26:06","01/29/2022, 02:26:06",732,t-philips-hub,philips,both
176,C4fIEM3NAdvO6CJvd9,35.201.85.69,443.0,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,F,Csxkn,"578f9003d397a52b430959aff44a46c32ca9b4c82417b9d113aaf6ff94e4b55f,03ffd344833ec209a7f39cbf3b5b642d131272f0453875fbe8308ccc326c1260",(empty),-,self signed certificate in certificate chain,0:17:88:68:5f:61,2020-01-29_11.59.30_192.168.10.224.pcap,578f9003d397a52b430959aff44a46c32ca9b4c82417b9d113aaf6ff94e4b55f,1580351307.161922,3.0,0E5F8AC867F3,CN=time.meethue.com,"CN=T\\C3\\9CRKTRUST Elektronik Sertifika Hizmet Sa\\C4\\9Flay\\C4\\B1c\\C4\\B1s\\C4\\B1 H6,O=T\\C3\\9CRKTRUST Bilgi \\C4\\B0leti\\C5\\9Fim ve Bili\\C5\\9Fim G\\C3\\BCvenli\\C4\\9Fi Hizmetleri A.\\C5\\9E.,L=Ankara,C=TR",1580196507.0,1643441307.0,rsaEncryption,sha256WithRSAEncryption,rsa,2048.0,65537.0,-,time.meethue.com,-,-,35.201.85.69,-,-,T,F,T\\C3\\9CRKTRUST Bilgi \\C4\\B0leti\\C5\\9Fim ve Bili\\C5\\9Fim G\\C3\\BCvenli\\C4\\9Fi Hizmetleri A.\\C5\\9E.,T\\C3\\9CRKTRUST Elektronik Sertifika Hizmet Sa\\C4\\9Flay\\C4\\B1c\\C4\\B1s\\C4\\B1 H6,CN=time.meethue.com,time.meethue.com,"01/28/2020, 02:28:27","01/29/2022, 02:28:27",732,t-philips-hub,philips,both
177,CO3Ynv1sdzLjWVqNXj,35.201.85.69,443.0,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,F,Csxkn,"9119d08b2ebc49b7bf96605ed6338371c42a499d12843d049e57d2f29438256b,03ffd344833ec209a7f39cbf3b5b642d131272f0453875fbe8308ccc326c1260",(empty),-,self signed certificate in certificate chain,0:17:88:68:5f:61,2020-01-29_11.59.30_192.168.10.224.pcap,9119d08b2ebc49b7bf96605ed6338371c42a499d12843d049e57d2f29438256b,1580351518.125189,3.0,0E5F8AE89885,CN=time.meethue.com,"CN=T\\C3\\9CRKTRUST Elektronik Sertifika Hizmet Sa\\C4\\9Flay\\C4\\B1c\\C4\\B1s\\C4\\B1 H6,O=T\\C3\\9CRKTRUST Bilgi \\C4\\B0leti\\C5\\9Fim ve Bili\\C5\\9Fim G\\C3\\BCvenli\\C4\\9Fi Hizmetleri A.\\C5\\9E.,L=Ankara,C=TR",1580196718.0,1643441518.0,rsaEncryption,sha256WithRSAEncryption,rsa,2048.0,65537.0,-,time.meethue.com,-,-,35.201.85.69,-,-,T,F,T\\C3\\9CRKTRUST Bilgi \\C4\\B0leti\\C5\\9Fim ve Bili\\C5\\9Fim G\\C3\\BCvenli\\C4\\9Fi Hizmetleri A.\\C5\\9E.,T\\C3\\9CRKTRUST Elektronik Sertifika Hizmet Sa\\C4\\9Flay\\C4\\B1c\\C4\\B1s\\C4\\B1 H6,CN=time.meethue.com,time.meethue.com,"01/28/2020, 02:31:58","01/29/2022, 02:31:58",732,t-philips-hub,philips,both
178,CN7Pwe2l532LS9Ux8a,35.201.85.69,443.0,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,F,Csxkn,"99889fe04385dac8643ba223ccb646fdf663264375f1683e1e23a951ce15cd7d,07af1ac1fc0ad595240c23f9490857d4d786ffb8b3ce69f67f77b6dcca69e11d",(empty),-,self signed certificate in certificate chain,0:17:88:68:5f:61,2020-01-29_11.59.30_192.168.10.224.pcap,99889fe04385dac8643ba223ccb646fdf663264375f1683e1e23a951ce15cd7d,1580351658.484105,3.0,0E5F8AFE0231,CN=time.meethue.com,"CN=CA Disig Root R1,O=Disig a.s.,L=Bratislava,C=SK",1580196858.0,1643441658.0,rsaEncryption,sha256WithRSAEncryption,rsa,4096.0,65537.0,-,time.meethue.com,-,-,35.201.85.69,-,-,T,F,Disig a.s.,CA Disig Root R1,CN=time.meethue.com,time.meethue.com,"01/28/2020, 02:34:18","01/29/2022, 02:34:18",732,t-philips-hub,philips,both
179,CAqPer3IN2vgOf8bH5,35.201.85.69,443.0,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,F,Csxkn,"235332bce00e8386f61cf419e18d72cf0f9d58190fe9a956337c28e010f09d4e,07af1ac1fc0ad595240c23f9490857d4d786ffb8b3ce69f67f77b6dcca69e11d",(empty),-,self signed certificate in certificate chain,0:17:88:68:5f:61,2020-01-29_11.59.30_192.168.10.224.pcap,235332bce00e8386f61cf419e18d72cf0f9d58190fe9a956337c28e010f09d4e,1580351869.651004,3.0,0E5F8B1E3B7E,CN=time.meethue.com,"CN=CA Disig Root R1,O=Disig a.s.,L=Bratislava,C=SK",1580197069.0,1643441869.0,rsaEncryption,sha256WithRSAEncryption,rsa,4096.0,65537.0,-,time.meethue.com,-,-,35.201.85.69,-,-,T,F,Disig a.s.,CA Disig Root R1,CN=time.meethue.com,time.meethue.com,"01/28/2020, 02:37:49","01/29/2022, 02:37:49",732,t-philips-hub,philips,both
180,C8VWkE1KHuhlkATxi5,35.201.85.69,443.0,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,F,Csxkn,"300f08dbdd6818ab5efa7838429d7b51fa4df4dc88838890d86c91f17870feae,4cca92361ad8a862b83e192162acd105449fd6f285ef399745970d3ce32261da",(empty),-,certificate signature failure,0:17:88:68:5f:61,2020-01-29_11.59.30_192.168.10.224.pcap,300f08dbdd6818ab5efa7838429d7b51fa4df4dc88838890d86c91f17870feae,1580352009.905780,3.0,0E5F8B33A240,CN=time.meethue.com,"CN=Amazon Root CA 2,O=Amazon,C=US",1580197209.0,1643442009.0,rsaEncryption,sha256WithRSAEncryption,rsa,4096.0,65537.0,-,time.meethue.com,-,-,35.201.85.69,-,-,T,F,Amazon,Amazon Root CA 2,CN=time.meethue.com,time.meethue.com,"01/28/2020, 02:40:09","01/29/2022, 02:40:09",732,t-philips-hub,philips,both
